DATE,Day,Month,Quarter,Year,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
05-Dec-25,Friday,December,Q4,2025,EQ,2217.9,2268.6,2202.9,2217.9,2263,2265.4,2240.36,2695,2026.55,2400781,67680
04-Dec-25,Thursday,December,Q4,2025,EQ,2188,2231.7,2183.4,2189.8,2216.8,2217.9,2212.67,2695,2026.55,2522821,67347
03-Dec-25,Wednesday,December,Q4,2025,EQ,2240,2245,2172.2,2239.6,2191.6,2189.8,2204.17,2695,2026.55,1643852,63240
02-Dec-25,Tuesday,December,Q4,2025,EQ,2255,2267.2,2232.2,2262,2239,2239.6,2244.6,2695,2026.55,1035354,46209
01-Dec-25,Monday,December,Q4,2025,EQ,2300,2304,2257,2280.2,2259.9,2262,2277.13,2695,2026.55,1313265,42480
28-Nov-25,Friday,November,Q4,2025,EQ,2267.1,2331,2247.8,2255,2282,2280.2,2295.96,2695,2026.55,3037620,86014
27-Nov-25,Thursday,November,Q4,2025,EQ,2310,2320.5,2243,2315,2249,2255,2283.07,2695,2026.55,1474038,61990
26-Nov-25,Wednesday,November,Q4,2025,EQ,2321.2,2357,2310,2332.9,2313.9,2315,2334.95,2695,2026.55,1026965,47392
25-Nov-25,Tuesday,November,Q4,2025,EQ,2400.9,2407.7,2325.3,2399.2,2329.4,2332.9,2364.69,2695,2026.55,2223715,69285
24-Nov-25,Monday,November,Q4,2025,EQ,2426.2,2432.3,2393.1,2422.3,2398.9,2399.2,2409.75,2695,2026.55,691419,32464
21-Nov-25,Friday,November,Q4,2025,EQ,2450,2456.2,2418,2446.1,2419,2422.3,2433.91,2894.8,2025,547541,23006
20-Nov-25,Thursday,November,Q4,2025,EQ,2450.1,2478.9,2440.4,2433.1,2448,2446.1,2456.68,2894.8,2025,1526556,49383
19-Nov-25,Wednesday,November,Q4,2025,EQ,2446.5,2449.9,2413.9,2436.8,2431,2433.1,2432.6,2894.8,2025,774785,29152
